Feature,CalYear,HourOfCall,Easting_rounded,Northing_rounded,FirstPumpArriving_AttendanceTime,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls,TurnoutTimeSeconds,TravelTimeSeconds,AttendanceTimeSeconds
CalYear,1.0,-0.015910021586357813,-0.002465729929443824,-0.007669859537430413,-0.009896694088507229,0.03810803329700991,-0.023594625766762987,-0.006699271974847763,0.0011379210602639907,0.03572242098376535,-0.013661370825776207,-0.14914008667958242,0.04513875841872821,-0.011943287114337882
HourOfCall,-0.015910021586357813,1.0,0.012988317565382821,0.0003354255569207044,-0.03442450347807209,0.016768382356260762,0.012847642068943718,0.004390267528296072,-0.0060425156505094476,-0.00639671708997772,0.007746189786349662,-0.15933040046266617,0.02597504100057816,-0.03431547290106455
Easting_rounded,-0.002465729929443824,0.012988317565382821,1.0,0.054350091116124113,-0.05244663889057014,-0.006391557438446542,-0.02087820002739745,-0.010831783844761952,0.002999635105821882,0.002700335251491505,0.021356237469274845,-0.001001781445003114,-0.053629188247124746,-0.05233562043354566
Northing_rounded,-0.007669859537430413,0.0003354255569207044,0.054350091116124113,1.0,0.026917665261829947,-0.010289358988889968,0.007111777187215144,0.005493948863181288,0.0018510177013584066,0.0016937565665736704,0.009223417384054034,-0.012854884540936681,0.03267348257830896,0.0268584073350419
FirstPumpArriving_AttendanceTime,-0.009896694088507229,-0.03442450347807209,-0.05244663889057014,0.026917665261829947,1.0,-0.034646692126003714,-0.07617373453740434,-0.04278293450315121,0.007593748512350335,0.0074201818536409215,0.04787133728476648,0.2652048989066032,0.9276468812345866,0.9978113117416706
NumStationsWithPumpsAttending,0.03810803329700991,0.016768382356260762,-0.006391557438446542,-0.010289358988889968,-0.034646692126003714,1.0,0.851682162955531,0.6218097007577433,0.19495857109381526,0.1850030272821912,0.09579051956616638,0.015379026808178597,-0.0447242078319331,-0.03759208517375468
NumPumpsAttending,-0.023594625766762987,0.012847642068943718,-0.02087820002739745,0.007111777187215144,-0.07617373453740434,0.851682162955531,1.0,0.7287413914152485,0.22706783226272192,0.21220621275426563,0.1039206941871937,0.033473426074526254,-0.0958402118188212,-0.08036348763479023
PumpCount,-0.006699271974847763,0.004390267528296072,-0.010831783844761952,0.005493948863181288,-0.04278293450315121,0.6218097007577433,0.7287413914152485,1.0,0.809498332400761,0.8029035047363994,0.28098703555480004,0.022008031685659655,-0.05636572861619251,-0.04639681362054711
PumpMinutesRounded,0.0011379210602639907,-0.0060425156505094476,0.002999635105821882,0.0018510177013584066,0.007593748512350335,0.19495857109381526,0.22706783226272192,0.809498332400761,1.0,0.989307911571358,0.3073681332831532,0.0057646714028063185,0.003977018604823409,0.006005481400049879
Notional Cost (£),0.03572242098376535,-0.00639671708997772,0.002700335251491505,0.0016937565665736704,0.0074201818536409215,0.1850030272821912,0.21220621275426563,0.8029035047363994,0.989307911571358,1.0,0.31316101704877003,0.001156017382676601,0.005345998883690143,0.005611344807216879
NumCalls,-0.013661370825776207,0.007746189786349662,0.021356237469274845,0.009223417384054034,0.04787133728476648,0.09579051956616638,0.1039206941871937,0.28098703555480004,0.3073681332831532,0.31316101704877003,1.0,0.015563593145372968,0.039480176374712836,0.044062925355860816
TurnoutTimeSeconds,-0.14914008667958242,-0.15933040046266617,-0.001001781445003114,-0.012854884540936681,0.2652048989066032,0.015379026808178597,0.033473426074526254,0.022008031685659655,0.0057646714028063185,0.001156017382676601,0.015563593145372968,1.0,-0.10803002198290496,0.2686592191138607
TravelTimeSeconds,0.04513875841872821,0.02597504100057816,-0.053629188247124746,0.03267348257830896,0.9276468812345866,-0.0447242078319331,-0.0958402118188212,-0.05636572861619251,0.003977018604823409,0.005345998883690143,0.039480176374712836,-0.10803002198290496,1.0,0.9285748213761499
AttendanceTimeSeconds,-0.011943287114337882,-0.03431547290106455,-0.05233562043354566,0.0268584073350419,0.9978113117416706,-0.03759208517375468,-0.08036348763479023,-0.04639681362054711,0.006005481400049879,0.005611344807216879,0.044062925355860816,0.2686592191138607,0.9285748213761499,1.0
